id,fund_category_fund_level,fund_type_fund_level_3,fund_group_fund_level_2,fund_fund_level_1,department_cost_center_level,division_cost_center_level,cost_center_cost_center_level,account_category_account,account_type_account_level,adopted_budget,amended_budget,fiscal_year,account_description,center_value,fund_value,account_value
403,Governmental Activities,Capital Project Funds,Development Impact,Citywide Park,Parks Recreation and Libraries,Parks,Park Development,Revenue,Capital Contributions-Developers & Gov't,468410.0,468410.0,2021,Permit Fees - In Lieu,58130,3303,4609
404,Governmental Activities,Capital Project Funds,Development Impact,Citywide Park - West Roseville SP,Parks Recreation and Libraries,Parks,Park Development,Revenue,Capital Contributions-Developers & Gov't,765120.0,765120.0,2021,Permit Fees - Park Construction,58130,3304,4608
405,Governmental Activities,Capital Project Funds,Development Impact,Citywide Park - Sierra Vista SP,Parks Recreation and Libraries,Parks,Park Development,Revenue,Capital Contributions-Developers & Gov't,1542547.0,1542547.0,2021,Permit Fees - Park Construction,58130,3305,4608
406,Governmental Activities,Capital Project Funds,Development Impact,Neighborhood Park - West Roseville SP,Parks Recreation and Libraries,Parks,Park Development,Revenue,Capital Contributions-Developers & Gov't,942464.0,942464.0,2021,Permit Fees - Neighborhood Park,58130,3311,4607
407,Governmental Activities,Capital Project Funds,Development Impact,Neighborhood Park - West Roseville SP,Parks Recreation and Libraries,Parks,Park Development,Revenue,Capital Contributions-Developers & Gov't,242128.0,242128.0,2021,Permit Fees - Bike Trail,58130,3311,4611
408,Governmental Activities,Capital Project Funds,Development Impact,Neighborhood Park - West Roseville SP,Parks Recreation and Libraries,Parks,Park Development,Revenue,Capital Contributions-Developers & Gov't,113275.0,113275.0,2021,Permit Fees - Paseo,58130,3311,4612
409,Governmental Activities,Capital Project Funds,Development Impact,Neighborhood Park - Westbrook,Parks Recreation and Libraries,Parks,Park Development,Revenue,Capital Contributions-Developers & Gov't,717340.0,717340.0,2021,Permit Fees - Neighborhood Park,58130,3318,4607
410,Governmental Activities,Capital Project Funds,Development Impact,Neighborhood Park - Westbrook,Parks Recreation and Libraries,Parks,Park Development,Revenue,Capital Contributions-Developers & Gov't,49910.0,49910.0,2021,Permit Fees - In Lieu,58130,3318,4609
411,Governmental Activities,Capital Project Funds,Development Impact,Neighborhood Park - Westbrook,Parks Recreation and Libraries,Parks,Park Development,Revenue,Capital Contributions-Developers & Gov't,22010.0,22010.0,2021,Permit Fees - Bike Trail,58130,3318,4611
412,Governmental Activities,Capital Project Funds,Development Impact,Neighborhood Park - Sierra Vista,Parks Recreation and Libraries,Parks,Park Development,Revenue,Capital Contributions-Developers & Gov't,1488980.0,1488980.0,2021,Permit Fees - Neighborhood Park,58130,3319,4607
413,Governmental Activities,Capital Project Funds,Development Impact,Neighborhood Park - Sierra Vista,Parks Recreation and Libraries,Parks,Park Development,Revenue,Capital Contributions-Developers & Gov't,342726.0,342726.0,2021,Permit Fees - Bike Trail,58130,3319,4611
414,Governmental Activities,Capital Project Funds,Development Impact,Neighborhood Park - Campus Oaks,Parks Recreation and Libraries,Parks,Park Development,Revenue,Capital Contributions-Developers & Gov't,531114.0,531114.0,2021,Permit Fees - Neighborhood Park,58130,3321,4607
415,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Adult Sports,Revenue,Charges for Services,314827.0,314827.0,2021,Recreation Program Revenue,58201,1001,4361
416,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Adult Sports,Revenue,Charges for Services,26258.0,26258.0,2021,Parks And Recreation Use Fees,58201,1001,4363
417,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Adult & Senior,Revenue,Charges for Services,48810.0,48810.0,2021,Recreation Program Revenue,58210,1001,4361
418,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Youth & Teen,Revenue,Charges for Services,534516.0,534516.0,2021,Recreation Program Revenue,58220,1001,4361
419,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Day Camps,Revenue,Charges for Services,211811.0,211811.0,2021,Recreation Program Revenue,58230,1001,4361
420,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Day Camps,Revenue,Other Revenue,11000.0,11000.0,2021,Donations,58230,1001,4740
421,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Day Camps,Revenue,Other Revenue,12734.0,12734.0,2021,Revenue from Other Agencies,58230,1001,4780
422,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Community Events,Revenue,Charges for Services,150864.0,150864.0,2021,Recreation Program Revenue,58250,1001,4361
423,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Community Events,Revenue,Charges for Services,3890.0,3890.0,2021,Parks And Recreation Use Fees,58250,1001,4363
424,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Community Events,Revenue,Charges for Services,2250.0,2250.0,2021,Concession Charges,58250,1001,4366
425,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Community Events,Revenue,Other Revenue,33250.0,33250.0,2021,Revenue from Other Agencies,58250,1001,4780
426,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Aquatics,Revenue,Charges for Services,997882.0,997882.0,2021,Recreation Program Revenue,58260,1001,4361
427,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Aquatics,Revenue,Charges for Services,443509.0,443509.0,2021,Parks And Recreation Use Fees,58260,1001,4363
428,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Aquatics,Revenue,Charges for Services,11000.0,11000.0,2021,Concession Charges,58260,1001,4366
429,Governmental Activities,Special Revenue Funds,Aquatics,Roseville Aquatics Maintenance,Parks Recreation and Libraries,Recreation,Aquatics,Revenue,Other Revenue,0.0,600000.0,2021,Revenue from Other Agencies,58260,2551,4780
430,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Roseville Sports Center,Revenue,Charges for Services,371935.0,371935.0,2021,Recreation Program Revenue,58270,1001,4361
431,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Roseville Sports Center,Revenue,Charges for Services,179913.0,179913.0,2021,Parks And Recreation Use Fees,58270,1001,4363
432,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Roseville Sports Center,Revenue,Charges for Services,5500.0,5500.0,2021,Concession Charges,58270,1001,4366
433,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Recreation,Maidu Community Center,Revenue,Charges for Services,219785.0,219785.0,2021,Parks And Recreation Use Fees,58280,1001,4363
434,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Library,Library,Revenue,Charges for Services,5000.0,5000.0,2021,Recreation Program Revenue,58301,1001,4361
435,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Library,Library,Revenue,Charges for Services,6500.0,6500.0,2021,Parks And Recreation Use Fees,58301,1001,4363
436,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Library,Library,Revenue,Charges for Services,3500.0,3500.0,2021,Concession Charges,58301,1001,4366
437,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Library,Library,Revenue,Charges for Services,18000.0,18000.0,2021,Administrative Fees,58301,1001,4390
438,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Library,Library,Revenue,Fines & Penalties,68000.0,68000.0,2021,Other Fines or Penalties,58301,1001,4590
439,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Library,Library,Revenue,Other Revenue,50.0,50.0,2021,Bad Debt Recovery,58301,1001,4720
440,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Library,Library,Revenue,Other Revenue,48650.0,48650.0,2021,Donations,58301,1001,4740
441,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Library,Library,Revenue,Other Revenue,24400.0,24400.0,2021,Revenue from Other Agencies,58301,1001,4780
442,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Library,Library,Revenue,Other Revenue,2500.0,2500.0,2021,Other Revenue,58301,1001,4790
443,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Library,Maidu Museum & Historic Site,Revenue,Charges for Services,101655.0,101655.0,2021,Recreation Program Revenue,58310,1001,4361
444,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Library,Maidu Museum & Historic Site,Revenue,Charges for Services,10550.0,10550.0,2021,Parks And Recreation Use Fees,58310,1001,4363
445,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Library,Maidu Museum & Historic Site,Revenue,Charges for Services,17240.0,17240.0,2021,Concession Charges,58310,1001,4366
446,Governmental Activities,General Funds,General,General,Parks Recreation and Libraries,Library,Maidu Museum & Historic Site,Revenue,Other Revenue,9660.0,9660.0,2021,Donations,58310,1001,4740
447,Business Type Funds,Enterprise Funds,Youth Development,Youth Development,Parks Recreation and Libraries,Youth Development,Adventure Clubs,Revenue,Charges for Services,6000000.0,6000000.0,2021,Recreation Program Revenue,58401,6591,4361
448,Business Type Funds,Enterprise Funds,Youth Development,Youth Development,Parks Recreation and Libraries,Youth Development,Adventure Clubs,Revenue,Charges for Services,200000.0,200000.0,2021,Parks And Recreation Use Fees,58401,6591,4363
449,Business Type Funds,Enterprise Funds,Youth Development,Youth Development,Parks Recreation and Libraries,Youth Development,Preschool Education,Revenue,Charges for Services,648094.0,648094.0,2021,Recreation Program Revenue,58410,6591,4361
450,Business Type Funds,Enterprise Funds,Youth Development,Youth Development,Parks Recreation and Libraries,Youth Development,Preschool Education,Revenue,Charges for Services,40000.0,40000.0,2021,Parks And Recreation Use Fees,58410,6591,4363
451,Business Type Funds,Enterprise Funds,Youth Development,Youth Development,Parks Recreation and Libraries,Youth Development,After School Education Safety,Revenue,Other Revenue,250700.0,250700.0,2021,Revenue from Other Agencies,58420,6591,4780
452,Business Type Funds,Enterprise Funds,Youth Development,Youth Development,Parks Recreation and Libraries,Youth Development,CDE Child Development,Revenue,Charges for Services,520000.0,520000.0,2021,Recreation Program Revenue,58430,6591,4361
453,Business Type Funds,Enterprise Funds,Youth Development,Youth Development,Parks Recreation and Libraries,Youth Development,CDE Child Development,Revenue,Charges for Services,15000.0,15000.0,2021,Parks And Recreation Use Fees,58430,6591,4363
454,Business Type Funds,Enterprise Funds,Youth Development,Youth Development,Parks Recreation and Libraries,Youth Development,CDE Child Development,Revenue,Grants & Contributions,142000.0,142000.0,2021,Federal Grants,58430,6591,4401
455,Business Type Funds,Enterprise Funds,Youth Development,Youth Development,Parks Recreation and Libraries,Youth Development,CDE Child Development,Revenue,Grants & Contributions,182000.0,182000.0,2021,State Grants,58430,6591,4410
456,Governmental Activities,Special Revenue Funds,Golf Course,Diamond Oaks,Parks Recreation and Libraries,Golf,Diamond Oaks,Revenue,Charges for Services,1000000.0,1000000.0,2021,Golf Operations,58501,2591,4351
457,Governmental Activities,Special Revenue Funds,Golf Course,Woodcreek,Parks Recreation and Libraries,Golf,Woodcreek,Revenue,Charges for Services,1000000.0,1000000.0,2021,Golf Operations,58510,2594,4351
458,Governmental Activities,Special Revenue Funds,Golf Course,Woodcreek,Parks Recreation and Libraries,Golf,Woodcreek,Revenue,Transfers,1004749.0,0.0,2021,Transfers In - Operating,58510,2594,4801
459,Governmental Activities,General Funds,General,General,Public Works,Engineering,Public Works Engineering,Revenue,Charges for Services,7000.0,7000.0,2021,Permit Fees - Plan Check,62101,1001,4202
460,Governmental Activities,General Funds,General,General,Public Works,Engineering,Public Works Engineering,Revenue,Other Revenue,6120.0,6120.0,2021,Other Revenue,62101,1001,4790
461,Governmental Activities,Special Revenue Funds,State Gas Tax,Highway Users Tax,Public Works,Engineering,Public Works Engineering,Revenue,Taxes,3520622.0,3520622.0,2021,Highway Users Tax,62101,2305,4095
462,Governmental Activities,Special Revenue Funds,State Gas Tax,Road Maintenance and Rehab,Public Works,Engineering,Public Works Engineering,Revenue,Other Revenue,2637415.0,2637415.0,2021,Revenue from Other Agencies,62101,2307,4780
463,Governmental Activities,General Funds,General,General,Public Works,Street Maintenance,Streets,Revenue,Licenses & Permits,27000.0,27000.0,2021,Highway Moving Permits,62301,1001,4155
464,Governmental Activities,General Funds,General,General,Public Works,Street Maintenance,Streets,Revenue,Other Revenue,2200.0,2200.0,2021,Accident Recovery,62301,1001,4725
465,Governmental Activities,General Funds,General,General,Public Works,Street Maintenance,Street Drainage,Revenue,Other Revenue,2500.0,2500.0,2021,Accident Recovery,62310,1001,4725
466,Governmental Activities,General Funds,General,General,Public Works,Street Maintenance,Paving,Revenue,Other Revenue,1000.0,1000.0,2021,Accident Recovery,62320,1001,4725
467,Governmental Activities,General Funds,General,General,Public Works,Street Maintenance,Street Signs,Revenue,Other Revenue,2450.0,2450.0,2021,Accident Recovery,62330,1001,4725
468,Governmental Activities,General Funds,General,General,Public Works,Street Maintenance,Street Signs,Revenue,Other Revenue,7000.0,7000.0,2021,Other Revenue,62330,1001,4790
469,Governmental Activities,General Funds,General,General,Public Works,Street Maintenance,Street Markings,Revenue,Other Revenue,500.0,500.0,2021,Accident Recovery,62340,1001,4725
470,Governmental Activities,General Funds,General,General,Public Works,Street Maintenance,Street Markings,Revenue,Other Revenue,500.0,500.0,2021,Other Revenue,62340,1001,4790
471,Business Type Funds,Enterprise Funds,Waste Services,Waste Services Operations,Public Works,Street Maintenance,Street Sweeping,Revenue,Charges for Services,200.0,200.0,2021,Hazardous Material Clean-Up Charges,62345,6301,4243
472,Business Type Funds,Enterprise Funds,Waste Services,Waste Services Operations,Public Works,Street Maintenance,Street Sweeping,Revenue,Other Revenue,1250.0,1250.0,2021,Accident Recovery,62345,6301,4725
473,Business Type Funds,Enterprise Funds,Waste Services,Waste Services Operations,Public Works,Street Maintenance,Street Sweeping,Revenue,Other Revenue,2000.0,2000.0,2021,Other Revenue,62345,6301,4790
474,Governmental Activities,General Funds,General,General,Public Works,Street Maintenance,Golf Lane Maintenance Sun City,Revenue,Licenses & Permits,10000.0,10000.0,2021,Other Licenses or Permits,62360,1001,4190
475,Business Type Funds,Enterprise Funds,Transportation,Transit,Public Works,Alternative Transportation,Transit Administration,Revenue,Grants & Contributions,0.0,203726.0,2021,Federal Grants,62401,6511,4401
476,Business Type Funds,Enterprise Funds,Transportation,Transit,Public Works,Alternative Transportation,Transit Administration,Revenue,Grants & Contributions,790593.0,592744.0,2021,Local Transportation Funds,62401,6511,4425
477,Business Type Funds,Enterprise Funds,Transportation,Transit,Public Works,Alternative Transportation,Transit Administration,Revenue,Capital Contributions-Developers & Gov't,40000.0,40000.0,2021,Permit Fees - Contribution For Non-Capital,62401,6511,4601
478,Business Type Funds,Enterprise Funds,Transportation,Transit,Public Works,Alternative Transportation,Transit Administration,Revenue,Other Revenue,500.0,500.0,2021,Revenue from Other Agencies,62401,6511,4780
479,Business Type Funds,Enterprise Funds,Transportation,Transit,Public Works,Alternative Transportation,Transit Services,Revenue,Charges for Services,891000.0,500000.0,2021,Passenger Fares,62410,6511,4341
480,Business Type Funds,Enterprise Funds,Transportation,Transit,Public Works,Alternative Transportation,Transit Services,Revenue,Grants & Contributions,0.0,1644033.0,2021,Federal Grants,62410,6511,4401
481,Business Type Funds,Enterprise Funds,Transportation,Transit,Public Works,Alternative Transportation,Transit Services,Revenue,Grants & Contributions,1130000.0,590073.0,2021,State Transit Assistance,62410,6511,4420
482,Business Type Funds,Enterprise Funds,Transportation,Transit,Public Works,Alternative Transportation,Transit Services,Revenue,Grants & Contributions,3158101.0,2528575.0,2021,Local Transportation Funds,62410,6511,4425
483,Business Type Funds,Enterprise Funds,Transportation,Transit,Public Works,Alternative Transportation,Transit Services,Revenue,Other Revenue,37000.0,37000.0,2021,Accident Recovery,62410,6511,4725
484,Business Type Funds,Enterprise Funds,Transportation,Transit,Public Works,Alternative Transportation,Transit Services,Revenue,Other Revenue,121500.0,80000.0,2021,Advertising Revenue,62410,6511,4750
485,Business Type Funds,Enterprise Funds,Transportation,Transit,Public Works,Alternative Transportation,Transit Services,Revenue,Other Revenue,160000.0,0.0,2021,Revenue from Other Agencies,62410,6511,4780
486,Business Type Funds,Enterprise Funds,Transportation,Transportation,Public Works,Alternative Transportation,Transportation,Revenue,Grants & Contributions,1470680.0,1695680.0,2021,Local Transportation Funds,62440,6520,4425
487,Business Type Funds,Enterprise Funds,Transportation,Transportation,Public Works,Alternative Transportation,Transportation,Revenue,Capital Contributions-Developers & Gov't,5000.0,5000.0,2021,Permit Fees - Contribution For Non-Capital,62440,6520,4601
488,Business Type Funds,Enterprise Funds,Transportation,Transportation,Public Works,Alternative Transportation,Transportation,Revenue,Other Revenue,7000.0,7000.0,2021,Donations,62440,6520,4740
489,Business Type Funds,Enterprise Funds,Transportation,Transportation,Public Works,Alternative Transportation,Transportation,Revenue,Other Revenue,20000.0,20000.0,2021,Revenue from Other Agencies,62440,6520,4780
490,Business Type Funds,Enterprise Funds,Transportation,Consolidated Transit Services Agency,Public Works,Alternative Transportation,Consolidated Transit Services Agency,Revenue,Grants & Contributions,54500.0,15500.0,2021,Federal Grants,62450,6540,4401
491,Business Type Funds,Enterprise Funds,Transportation,Consolidated Transit Services Agency,Public Works,Alternative Transportation,Consolidated Transit Services Agency,Revenue,Grants & Contributions,330000.0,270000.0,2021,Local Transportation Funds,62450,6540,4425
492,Governmental Activities,Capital Project Funds,Development Impact,Bike Trail,Public Works,Alternative Transportation,Bike Trail Maintenance,Revenue,Taxes,160148.0,160148.0,2021,Property Tax - Special Assessment Current,62460,3380,4050
493,Governmental Activities,General Funds,General,General,Public Works,Facility Maintenance,Prop Mgt - Rentals,Revenue,Use of Property & Money,176200.0,176200.0,2021,Rental Revenue,62501,1001,4480
494,Governmental Activities,General Funds,General,General,Public Works,Facility Maintenance,Prop Mgt - Rentals,Revenue,Use of Property & Money,121554.0,121554.0,2021,Lease Revenue,62501,1001,4490
495,Governmental Activities,Internal Services Funds,Facilities,Facility Services,Public Works,Facility Maintenance,Custodial Services,Revenue,Charges for Services,1491570.0,1491570.0,2021,Internal Service Charges - Rates,62510,4061,4251
496,Governmental Activities,Internal Services Funds,Facilities,Facility Services,Public Works,Facility Maintenance,Building Maintenance,Revenue,Charges for Services,3636366.0,3636366.0,2021,Internal Service Charges - Rates,62520,4061,4251
497,Governmental Activities,Internal Services Funds,Facilities,Facility Services,Public Works,Facility Maintenance,Building Maintenance,Revenue,Charges for Services,468400.0,468400.0,2021,Internal Service Charges - Demand,62520,4061,4253
498,Governmental Activities,Internal Services Funds,Facilities,Facility Rehabilitation,Public Works,Facility Maintenance,Facility Rehabiliation,Revenue,Charges for Services,1587154.0,1587154.0,2021,Internal Service Charges - Rates,62530,4065,4251
499,Governmental Activities,Internal Services Funds,Fleet,Fleet Services,Public Works,Fleet,Fleet,Revenue,Charges for Services,5747964.0,5753748.0,2021,Internal Service Charges - Rates,62601,4001,4251
500,Governmental Activities,Internal Services Funds,Fleet,Fleet Services,Public Works,Fleet,Fleet,Revenue,Charges for Services,3289854.0,3289854.0,2021,Fuel Recovery,62601,4001,4257
501,Governmental Activities,Internal Services Funds,Fleet,Fleet Services,Public Works,Fleet,Fleet,Revenue,Charges for Services,2400.0,2400.0,2021,Administrative Fees,62601,4001,4390
502,Governmental Activities,Internal Services Funds,Fleet,Fleet Services,Public Works,Fleet,Fleet,Revenue,Use of Property & Money,50000.0,50000.0,2021,Rental Revenue,62601,4001,4480
503,Governmental Activities,Internal Services Funds,Fleet,Fleet Services,Public Works,Fleet,Fleet,Revenue,Other Revenue,174000.0,174000.0,2021,Revenue from Other Agencies,62601,4001,4780
504,Governmental Activities,Internal Services Funds,Fleet,Fleet Replacement,Public Works,Fleet,Fleet,Revenue,Charges for Services,6443990.0,6658990.0,2021,Internal Service Charges - Rates,62601,4005,4251
505,Governmental Activities,Internal Services Funds,Fleet,Fleet Replacement,Public Works,Fleet,Fleet,Revenue,Charges for Services,281128.0,657628.0,2021,Internal Service Charges - Vehicles Shortage,62601,4005,4254
506,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Development Services Admin,Revenue,Other Revenue,10000.0,10000.0,2021,Other Revenue,66001,1001,4790
507,Governmental Activities,Special Revenue Funds,Technology Replacement,Technology Replacement,Development Services,Development Services Admin,Development Services Admin,Revenue,Charges for Services,409000.0,409000.0,2021,Permit Fees - Technology Investment,66001,2401,4208
508,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Building Inspection,Revenue,Licenses & Permits,2400000.0,2400000.0,2021,Permit Fees - Building Permits,66020,1001,4151
509,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Building Inspection,Revenue,Charges for Services,20000.0,20000.0,2021,Permit Fees - Inspection,66020,1001,4201
510,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Building Inspection,Revenue,Charges for Services,1500000.0,1500000.0,2021,Permit Fees - Plan Check,66020,1001,4202
511,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Building Inspection,Revenue,Charges for Services,10000.0,10000.0,2021,Administrative Fees,66020,1001,4390
512,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Building Inspection,Revenue,Grants & Contributions,10000.0,10000.0,2021,SB 1186 - Disability Access,66020,1001,4430
513,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Building Inspection,Revenue,Fines & Penalties,2500.0,2500.0,2021,Other Fines or Penalties,66020,1001,4590
514,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Contracted Building Plan Review,Revenue,Charges for Services,500000.0,500000.0,2021,Permit Fees - Plan Check,66021,1001,4202
515,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Code Enforcement,Revenue,Fines & Penalties,250.0,250.0,2021,Other Fines or Penalties,66030,1001,4590
516,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Planning,Revenue,Charges for Services,175000.0,175000.0,2021,Permit Fees - Plan Check,66040,1001,4202
517,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Planning,Revenue,Charges for Services,225000.0,225000.0,2021,Permit Fees - Planning,66040,1001,4204
518,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Planning,Revenue,Charges for Services,0.0,150000.0,2021,Permit Fees - General Plan Update,66040,1001,4207
519,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Development Services Engineering,Revenue,Charges for Services,24500.0,24500.0,2021,Permit Fees - Plan Check,66050,1001,4202
520,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Development Services Engineering,Revenue,Charges for Services,100000.0,100000.0,2021,Permit Fees - Engineering,66050,1001,4205
521,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Development Services Engineering,Revenue,Charges for Services,100000.0,100000.0,2021,Franchise Fees,66050,1001,4273
522,Governmental Activities,General Funds,General,General,Development Services,Development Services Admin,Development Services Engineering,Revenue,Charges for Services,500.0,500.0,2021,Administrative Fees,66050,1001,4390
523,Governmental Activities,Capital Project Funds,Traffic Mitigation,Traffic Mitigation,Development Services,Development Services Admin,Traffic Mitigation Setaside Westbrook,Revenue,Capital Contributions-Developers & Gov't,0.0,400000.0,2021,Permit Fees - Mitigation,66060,3151,4602
524,Governmental Activities,Capital Project Funds,Traffic Mitigation,Traffic Mitigation,Development Services,Development Services Admin,Traffic Mitigation Setaside Sierra Vista,Revenue,Capital Contributions-Developers & Gov't,0.0,800000.0,2021,Permit Fees - Mitigation,66061,3151,4602
525,Governmental Activities,Capital Project Funds,Development Impact,City County Mitigation,Development Services,Development Services Admin,Developer Reimbursement,Revenue,Capital Contributions-Developers & Gov't,0.0,1531368.0,2021,Permit Fees - Mitigation,66070,3395,4602
526,Business Type Funds,Enterprise Funds,Electric,Electric,Electric,Electric Utility,Electric Construction and Maintenance,Revenue,Capital Contributions-Developers & Gov't,200000.0,200000.0,2021,Meter Upgrade Fees,70015,6001,4659
527,Business Type Funds,Enterprise Funds,Electric,Electric,Electric,Electric Utility,Electric Construction and Maintenance,Revenue,Other Revenue,50000.0,50000.0,2021,Sale of Scrap,70015,6001,4705
528,Business Type Funds,Enterprise Funds,Electric,Electric,Electric,Electric Utility,Electric Construction and Maintenance,Revenue,Other Revenue,50000.0,50000.0,2021,Accident Recovery,70015,6001,4725
529,Business Type Funds,Enterprise Funds,Electric,Electric,Electric,Electric Utility,Electric Construction and Maintenance,Revenue,Other Revenue,40000.0,40000.0,2021,Other Revenue,70015,6001,4790
530,Business Type Funds,Enterprise Funds,Electric,Electric,Electric,Electric Utility,Electric UEC,Revenue,Charges for Services,6740.0,6740.0,2021,Recreation Program Revenue,70085,6001,4361
531,Business Type Funds,Enterprise Funds,Electric,Electric,Electric,Electric Utility,Electric UEC,Revenue,Charges for Services,1650.0,1650.0,2021,Concession Charges,70085,6001,4366
532,Business Type Funds,Enterprise Funds,Electric,Electric,Electric,Electric Utility,Electric UEC,Revenue,Other Revenue,250.0,250.0,2021,Donations,70085,6001,4740
533,Business Type Funds,Enterprise Funds,Electric,Electric,Electric,Electric Utility,Electric UBS - Admin,Revenue,Charges for Services,250.0,250.0,2021,Administrative Fees,70081,6001,4390
534,Business Type Funds,Enterprise Funds,Water,Water Operations,Environmental Utilities,Water,Water UBS - Admin,Revenue,Charges for Services,83.0,83.0,2021,Administrative Fees,74181,6101,4390
535,Business Type Funds,Enterprise Funds,Waste Services,Waste Services Operations,Environmental Utilities,Solid Waste,Waste Services UBS - Admin,Revenue,Charges for Services,83.0,83.0,2021,Administrative Fees,74281,6301,4390
536,Business Type Funds,Enterprise Funds,Wastewater,Wastewater Operations,Environmental Utilities,Wastewater,Wastewater UBS - Admin,Revenue,Charges for Services,83.0,83.0,2021,Administrative Fees,74381,6201,4390
537,Business Type Funds,Enterprise Funds,Water,Water Operations,Environmental Utilities,Water,Water Administration,Revenue,Other Revenue,3750.0,3750.0,2021,Other Revenue,74105,6101,4790
538,Business Type Funds,Enterprise Funds,Water,Water Operations,Environmental Utilities,Water,Water Legislative and Regulatory Services,Revenue,Other Revenue,170000.0,170000.0,2021,Revenue from Other Agencies,74106,6101,4780
539,Business Type Funds,Enterprise Funds,Water,Water Operations,Environmental Utilities,Water,Water Distribution,Revenue,Licenses & Permits,10000.0,10000.0,2021,Base Hydrant Permits,74110,6101,4176
540,Business Type Funds,Enterprise Funds,Water,Water Operations,Environmental Utilities,Water,Water Distribution,Revenue,Charges for Services,1000.0,1000.0,2021,Permit Fees - Inspection,74110,6101,4201
541,Business Type Funds,Enterprise Funds,Water,Water Operations,Environmental Utilities,Water,Water Distribution,Revenue,Charges for Services,2000.0,2000.0,2021,Permit Fees - Plan Check,74110,6101,4202
542,Business Type Funds,Enterprise Funds,Water,Water Operations,Environmental Utilities,Water,Water Distribution,Revenue,Charges for Services,20000.0,20000.0,2021,Meter and Backflow Device Rental Charges,74110,6101,4291
543,Business Type Funds,Enterprise Funds,Water,Water Operations,Environmental Utilities,Water,Water Distribution,Revenue,Capital Contributions-Developers & Gov't,85000.0,85000.0,2021,Installation Tap Repairs,74110,6101,4650
544,Business Type Funds,Enterprise Funds,Water,Water Operations,Environmental Utilities,Water,Water Distribution,Revenue,Capital Contributions-Developers & Gov't,35000.0,35000.0,2021,Backflow Device Repair And Test,74110,6101,4653
545,Business Type Funds,Enterprise Funds,Water,Water Operations,Environmental Utilities,Water,Water Distribution,Revenue,Capital Contributions-Developers & Gov't,298307.0,298307.0,2021,Meter Installation Fees,74110,6101,4656
546,Business Type Funds,Enterprise Funds,Water,Water Operations,Environmental Utilities,Water,Water Distribution,Revenue,Other Revenue,7500.0,7500.0,2021,Other Revenue,74110,6101,4790
547,Business Type Funds,Enterprise Funds,Water,Water Operations,Environmental Utilities,Water,Water UEC,Revenue,Charges for Services,2247.0,2247.0,2021,Recreation Program Revenue,74185,6101,4361
